Date	Call	Frequency	SNR	Drift	Grid	dBm	W
by	loc	km	mi	Mode
 2021-02-05 14:30 	 OU2ECV 	 14.097064 	 -17 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 14:22 	 OU2ECV 	 14.097028 	 -26 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 14:18 	 OU2ECV 	 14.097027 	 -25 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 14:14 	 OU2ECV 	 14.097027 	 -24 	 -2 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 14:02 	 OU2ECV 	 14.097065 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 13:54 	 OU2ECV 	 14.097031 	 -23 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 13:46 	 OU2ECV 	 14.097067 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 13:42 	 OU2ECV 	 14.097031 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 13:42 	 OU2ECV 	 14.097034 	 -23 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 13:42 	 OU2ECV 	 14.097035 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 F5PRP 	 JN03po 	 1572 	 977 	 WSPR-2 
 2021-02-05 13:38 	 OU2ECV 	 14.097032 	 -20 	 1 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 13:38 	 OU2ECV 	 14.097029 	 -21 	 0 	 JO65gs 	 +23 	 0.200 	 EI4IWB 	 IO52rp 	 1408 	 875 	 WSPR-2 
 2021-02-05 13:38 	 OU2ECV 	 14.097035 	 -27 	 1 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 13:34 	 OU2ECV 	 14.097035 	 -22 	 0 	 JO65gs 	 +23 	 0.200 	 F1JSC 	 JN03ge 	 1641 	 1020 	 WSPR-2 
 2021-02-05 13:26 	 OU2ECV 	 14.097025 	 -21 	 0 	 JO65gs 	 +23 	 0.200 	 I0UVN 	 JN61nl 	 1590 	 988 	 WSPR-2 
 2021-02-05 13:26 	 OU2ECV 	 14.097034 	 -15 	 3 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 13:26 	 OU2ECV 	 14.097071 	 -26 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 13:22 	 OU2ECV 	 14.097032 	 -21 	 0 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 13:18 	 OU2ECV 	 14.097031 	 -15 	 -1 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
 2021-02-05 13:18 	 OU2ECV 	 14.097070 	 -23 	 1 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 13:10 	 OU2ECV 	 14.097070 	 -24 	 0 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 12:54 	 OU2ECV 	 14.097068 	 -24 	 2 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 12:50 	 OU2ECV 	 14.097021 	 -19 	 2 	 JO65gs 	 +23 	 0.200 	 I0UVN 	 JN61nl 	 1590 	 988 	 WSPR-2 
 2021-02-05 12:50 	 OU2ECV 	 14.097033 	 -23 	 3 	 JO65gs 	 +23 	 0.200 	 F5PRP 	 JN03po 	 1572 	 977 	 WSPR-2 
 2021-02-05 12:46 	 OU2ECV 	 14.097021 	 -14 	 1 	 JO65gs 	 +23 	 0.200 	 I0UVN 	 JN61nl 	 1590 	 988 	 WSPR-2 
 2021-02-05 12:46 	 OU2ECV 	 14.097066 	 -26 	 1 	 JO65gs 	 +23 	 0.200 	 IZ0FKE 	 JN61fw 	 1538 	 956 	 WSPR-2 
 2021-02-05 12:38 	 OU2ECV 	 14.097026 	 -13 	 -4 	 JO65gs 	 +23 	 0.200 	 IW2NKE 	 JN63np 	 1349 	 838 	 WSPR-2 
